Year,Lg,Champion,Runner-Up,Finals MVP,Points,Rebounds,Assists,Win Shares
2019,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,K. Leonard (732),D. Green (223),D. Green (187),K. Leonard (4.9)
2018,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (748),D. Green (222),L. James (198),L. James (5.2)
2017,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (591),K. Love (191),L. James (141),L. James (4.3)
2016,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,K. Thompson (582),D. Green (228),R. Westbrook (198),L. James (4.7)
2015,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,L. James (601),D. Howard (238),L. James (169),S. Curry (3.9)
2014,NBA,San Antonio Spurs,Miami Heat,K. Leonard,K. Durant (563),T. Duncan (211),R. Westbrook (153),L. James (4.3)
2013,NBA,Miami Heat,San Antonio Spurs,L. James,L. James (596),T. Duncan (214),L. James (152),L. James (5.2)
2012,NBA,Miami Heat,Oklahoma City Thunder,L. James,L. James (697),L. James (224),R. Rondo (227),L. James (5.8)
2011,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,D. Nowitzki (582),T. Chandler (193),J. Kidd (153),L. James (3.8)
2010,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,K. Bryant (671),P. Gasol (255),R. Rondo (223),P. Gasol (4.3)
2009,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,K. Bryant (695),D. Howard (353),R. Rondo (137),L. James (4.8)
2008,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,K. Bryant (633),K. Garnett (274),R. Rondo (172),K. Garnett (4.1)
2007,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,L. James (501),T. Duncan (229),L. James (159),L. James (3.7)
2006,NBA,Miami Heat,Dallas Mavericks,D. Wade,D. Wade (654),D. Nowitzki (268),S. Nash (204),D. Nowitzki (5.4)
2005,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,T. Duncan (542),T. Duncan (286),S. Nash (170),C. Billups (4.6)
2004,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,K. Bryant (539),B. Wallace (328),C. Billups (136),S. O'Neal (3.9)
2003,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,T. Duncan (593),T. Duncan (369),J. Kidd (163),T. Duncan (5.9)
2002,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,S. O'Neal (541),S. O'Neal (239),J. Kidd (182),S. O'Neal (3.8)
2001,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,A. Iverson (723),D. Mutombo (316),A. Iverson (134),K. Bryant (3.8)
2000,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,S. O'Neal (707),S. O'Neal (355),M. Jackson (178),S. O'Neal (4.7)
1999,NBA,San Antonio Spurs,New York Knicks,T. Duncan,L. Sprewell (407),T. Duncan (195),A. Johnson (126),T. Duncan (3.7)
1998,NBA,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan (680),D. Rodman (248),J. Stockton (155),M. Jordan (4.8)
1997,NBA,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan (590),K. Malone (228),J. Stockton (191),M. Jordan (3.9)
1996,NBA,Chicago Bulls,Seattle SuperSonics,M. Jordan,M. Jordan (552),D. Rodman (247),J. Stockton (195),M. Jordan (4.7)
1995,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,H. Olajuwon (725),S. O'Neal (250),A. Hardaway (162),S. O'Neal (3.0)
1994,NBA,Houston Rockets,New York Knicks,H. Olajuwon,H. Olajuwon (664),P. Ewing (293),J. Stockton (157),H. Olajuwon (4.3)
1993,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,M. Jordan (666),C. Barkley (326),K. Johnson (182),C. Barkley (4.6)
1992,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,M. Jordan (759),H. Grant (194),J. Stockton (217),M. Jordan (4.1)
1991,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,M. Jordan (529),D. Rodman (177),M. Johnson (240),M. Jordan (4.8)
1990,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,M. Jordan (587),B. Laimbeer (211),K. Johnson (170),M. Jordan (4.0)
1989,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,M. Jordan (591),D. Rodman (170),M. Johnson (165),M. Jordan (4.0)
1988,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,J. Worthy (506),B. Laimbeer (221),M. Johnson (303),M. Johnson (4.0)
1987,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,L. Bird (622),L. Bird (231),M. Johnson (219),M. Johnson (3.7)
1986,NBA,Boston Celtics,Houston Rockets,L. Bird,H. Olajuwon (537),H. Olajuwon (236),M. Johnson (211),L. Bird (4.2)
1985,NBA,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,L. Bird (520),R. Parish (219),M. Johnson (289),M. Johnson (3.0)
1984,NBA,Boston Celtics,Los Angeles Lakers,L. Bird,L. Bird (632),L. Bird (252),M. Johnson (284),L. Bird (4.7)
1983,NBA,Philadelphia 76ers,Los Angeles Lakers,M. Malone,K. Abdul-Jabbar (406),M. Malone (206),M. Johnson (192),M. Malone (2.8)
1982,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,J. Erving (461),C. Jones (189),M. Cheeks (172),J. Erving (3.0)
1981,NBA,Boston Celtics,Houston Rockets,C. Maxwell,M. Malone (562),M. Malone (305),M. Cheeks (116),M. Malone (3.5)
1980,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,K. Abdul-Jabbar (479),C. Jones (185),M. Johnson (151),K. Abdul-Jabbar (3.3)
1979,NBA,Seattle Supersonics,Washington Bullets,D. Johnson,G. Williams (454),E. Hayes (266),T. Henderson (107),G. Williams (2.7)
1978,NBA,Washington Bullets,Seattle SuperSonics,W. Unseld,E. Hayes (457),M. Webster (289),T. Henderson (106),E. Hayes (3.1)
1977,NBA,Portland Trail Blazers,Philadelphia 76ers,B. Walton,J. Erving (518),B. Walton (288),B. Walton (104),J. Erving (3.4)
1976,NBA,Boston Celtics,Phoenix Suns,J. White,J. White (408),D. Cowens (296),A. Adams (98),D. Cowens (2.7)
1975,NBA,Golden State Warriors,Washington Bullets,R. Barry,R. Barry (479),W. Unseld (276),K. Porter (124),R. Barry (3.1)
1974,NBA,Boston Celtics,Milwaukee Bucks,J. Havlicek,K. Abdul-Jabbar (515),K. Abdul-Jabbar (253),O. Robertson (149),K. Abdul-Jabbar (4.7)
1973,NBA,New York Knicks,Los Angeles Lakers,W. Reed,J. West (401),W. Chamberlain (383),J. West (132),W. Frazier (3.0)
1972,NBA,Los Angeles Lakers,New York Knicks,W. Chamberlain,W. Frazier (388),W. Chamberlain (315),J. West (134),W. Frazier (3.3)
1971,NBA,Milwaukee Bucks,Baltimore Bullets,K. Abdul-Jabbar,E. Monroe (397),W. Unseld (339),O. Robertson (124),K. Abdul-Jabbar (3.3)
1970,NBA,New York Knicks,Los Angeles Lakers,W. Reed,J. West (562),W. Chamberlain (399),W. Frazier (156),J. West (3.2)
1969,NBA,Boston Celtics,Los Angeles Lakers,J. West,J. West (556),W. Chamberlain (444),J. West (135),J. West (4.3)
1968,NBA,Boston Celtics,Los Angeles Lakers,,J. Havlicek (493),B. Russell (434),J. Havlicek (142),J. West (3.6)
1967,NBA,Philadelphia 76ers,San Francisco Warriors,,R. Barry (521),W. Chamberlain (437),W. Chamberlain (135),W. Chamberlain (3.8)
1966,NBA,Boston Celtics,Los Angeles Lakers,,J. West (479),B. Russell (428),B. Russell (85),B. Russell (3.2)
1965,NBA,Boston Celtics,Los Angeles Lakers,,J. West (447),B. Russell (302),B. Russell (76),B. Russell (3.3)
1964,NBA,Boston Celtics,San Francisco Warriors,,W. Chamberlain (416),W. Chamberlain (302),G. Rodgers (90),W. Chamberlain (3.8)
1963,NBA,Boston Celtics,Los Angeles Lakers,,E. Baylor (424),B. Russell (326),B. Cousy (116),B. Russell (2.5)
1962,NBA,Boston Celtics,Los Angeles Lakers,,E. Baylor (502),B. Russell (370),B. Cousy (123),B. Russell (3.6)
1961,NBA,Boston Celtics,St. Louis Hawks,,E. Baylor (457),B. Russell (299),B. Cousy (91),E. Baylor (2.8)
1960,NBA,Boston Celtics,St. Louis Hawks,,B. Pettit (365),B. Russell (336),B. Cousy (116),B. Russell (3.0)
1959,NBA,Boston Celtics,Minneapolis Lakers,,E. Baylor (331),B. Russell (305),B. Cousy (119),F. Ramsey (2.0)
1958,NBA,St. Louis Hawks,Boston Celtics,,C. Hagan (305),B. Russell (221),B. Cousy (82),C. Hagan (2.7)
1957,NBA,Boston Celtics,St. Louis Hawks,,B. Pettit (298),B. Russell (244),B. Cousy (93),B. Pettit (1.7)
1956,NBA,Philadelphia Warriors,Fort Wayne Pistons,,P. Arizin (289),N. Johnston (143),G. King (60),P. Arizin (2.2)
1955,NBA,Syracuse Nationals,Fort Wayne Pistons,,D. Schayes (209),D. Schayes (141),A. Phillip (78),D. Schayes (1.8)
1954,NBA,Minneapolis Lakers,Syracuse Nationals,,G. Mikan (252),G. Mikan (171),S. Martin (60),G. Mikan (3.5)
1953,NBA,Minneapolis Lakers,New York Knicks,,G. Mikan (238),G. Mikan (185),D. McGuire (70),G. Mikan (2.0)
1952,NBA,Minneapolis Lakers,New York Knicks,,G. Mikan (307),G. Mikan (207),D. McGuire (90),G. Mikan (2.4)
1951,NBA,Rochester Royals,New York Knicks,,A. Risen (273),A. Risen (196),D. McGuire (78),B. Wanzer (2.7)
1950,NBA,Minneapolis Lakers,Syracuse Nationals,,G. Mikan (376),,J. Pollard (56),G. Mikan (3.7)
1949,BAA,Minneapolis Lakers,Washington Capitols,,G. Mikan (303),,J. Pollard (39),G. Mikan (4.2)
1948,BAA,Baltimore Bullets,Philadelphia Warriors,,J. Fulks (282),,H. Dallmar (37),C. Simmons (2.5)
1947,BAA,Philadelphia Warriors,Chicago Stags,,J. Fulks (222),,H. Dallmar (16),J. Fulks (2.3)